c1,c2,c3,c4,c5,c6
Permits required for omnibuses.,46,1,,,"No omnibus shall, on or after the appointed date, be used on any highway except under the authority of a stage carriage permit granted by the Commissioner under this Part and for the time being in force."
Permits required for omnibuses.,46,2,,,"The provisions of subsection (1) shall not apply to any omnibus which is used by any dealer on any highway if, but only if, it is so used under and in accordance with a dealer's licence issued under Part III."
Classes of stage carriage permit,47,,,,"A permit authorizing the use of an omnibus shall be of one of the following classes, that is to say :-"
Classes of stage carriage permit.,47,a,,,"a stage carriage permit for a regular service, and"
Classes of stage carriage permit.,47,b,,,a stage carriage permit for an occasional service.
Authorized passenger carriage by omnibus.,48,1,,,A stage carriage permit for a regular service shall entitle the holder thereof to use omnibuses of which he is the registered owner for the purpose of the operation of a regular omnibus service on the route or routes specified in the permit in accordance with the conditions attached thereto.
Authorized passenger carriage by omnibus.,48,2,,,"A stage carriage permit for an occasional service shall entitle the holder thereof to use omnibuses of which he is the registered owner for the purpose of the operation of an occasional service, on the occasion of any specified festival, fair, exhibition, excursion, tour or any other specified event, for the carriage of passengers to and from specified places and on the specified route or routes and in accordance with the conditions attached to the permit."
Authorized passenger carriage by omnibus.,48,2,,,""" specified"" means In this subsection, specified in the permit."
Specification of authorized omnibuses in permits for occasional,49,,,,"The Commissioner may, at the time of the grant of a stage carriage permit for an occasional service, specify therein, by reference to its distinctive number and such other particulars as he may consider necessary, each omnibus the use of which is authorized by the permit, and in any such case, no omnibus other than an omnibus so specified shall be used for the purposes of the service"
Duration of stage carriage permits,50,1,,,"The period for which a stage carriage permit under this Part shall be in force shall-(a) in the case of a permit for a regular service, be such period, not being less than two years nor more than ten years from the date on which it is expressed to come into force as shall be specified in the permit; and(b) in the case of a permit for an occasional service, be such period as shall be specified in the permit."
Duration of stage carriage permits,50,1,a,,"in the case of a permit for a regular service, be such period, not being less than two years nor more than ten years from the date on which it is expressed to come into force as shall be specified in the permit; and"
Duration of stage carriage permits,50,1,b,,"in the case of a permit for an occasional service, be such period as shall be specified in the permit."
Duration of stage carriage permits,50,2,,,"In any case where before the expiration of a stage carriage permit for a regular service, the holder thereof applies for another permit authorizing the use of omnibuses for substantially the same purposes as those authorized by the existing permit, the existing permit shall continue in force until the application is finally disposed of without prejudice, however, to the exercise in the meantime of the powers conferred by section 60."
Application for stage carriage permit,51,1,,,Every application for a stage carriage permit shall be made to the Commissioner in such form as the Commissioner may provide for the purpose.
Application for stage carriage permit,51,2,,,Every application for a stage carriage permit for a regular service shall be made not less than three months before the date on which the applicant requires the permit to come into force.
Application for stage carriage permit,51,3,,,"Every applicant for a stage carriage permit shall submit together with his application, a statement in such form as the Commissioner may provide for the purpose, containing-(a) particulars of the type or types of the omnibuses proposed to be used under the permit;(b) particulars of the route or routes on which it is proposed to provide the service;(c) in the case of a permit for a regular service, the time-table and fare-table of the proposed service;(d) in the case of a permit for an occasional service, particulars of the area in which and of the event or events in connexion with which a service is to be provided and such other particulars as the Commissioner may require including particulars relating to the frequency of the proposed service and the time to be taken on the journeys included therein;(e) such particulars as the Commissioner may require as to the hours of work or rest, hours of continuous duty, wages and other conditions of employment of the persons employed or proposed to be employed for the purpose of the service; and(f) such other particulars as the Commissioner may require."
Application for stage carriage permit,51,3,a,,particulars of the type or types of the omnibuses proposed to be used under the permit;
Application for stage carriage permit,51,3,b,,particulars of the route or routes on which it is proposed to provide the service;
Application for stage carriage permit,51,3,c,,"in the case of a permit for a regular service, the time-table and fare-table of the proposed service;"
Application for stage carriage permit,51,3,d,,"in the case of a permit for an occasional service, particulars of the area in which and of the event or events in connexion with which a service is to be provided and such other particulars as the Commissioner may require including particulars relating to the frequency of the proposed service and the time to be taken on the journeys included therein;"
Application for stage carriage permit,51,3,e,,"such particulars as the Commissioner may require as to the hours of work or rest, hours of continuous duty, wages and other conditions of employment of the persons employed or proposed to be employed for the purpose of the service; and"
Application for stage carriage permit,51,3,f,,such other particulars as the Commissioner may require.
Application for stage carriage permit,51,4,,,"An applicant for a stage carriage permit shall furnish to the Commissioner such other information as may be reasonably required for the purposes of this Act, including information pertaining to any matter mentioned in subsection (2) of section 56."
Notice of applications for permits for regular services.,52,1,,,The Commissioner shall publish in the prescribed manner notice of every application for a stage carriage permit for a regular service and shall specify in such notice the time at which and the manner in which objections may be made against the grant of the application.
Notice of applications for permits for regular services.,52,2,,,"In the case of any application referred to in subsection (1), any person already providing transport facilities, whether by means of road transport or any other means of transport, for the carriage of passengers for fee or reward along or near to the proposed route or routes or any part thereof may, on payment of the prescribed fee, make objection against the grant of the application on the ground that suitable transport facilities along or near to the proposed route or routes or part thereof, are, or if the application were granted, would be, in excess of requirements, or on the ground that any of the conditions of any permit held by the applicant has not been complied with."
Notice of applications for permits for regular services.,52,2,,,An objection may be made under this subsection on behalf of the railway by the General Manager of the railways or any other officer of his department authorized by him for the purpose; no fee shall be payable in respect of any such objection.
Notice of applications for permits for regular services.,52,3,,,Any local authority within whose administrative limits any part of the route or routes proposed by an applicant for a stage carriage permit is situated or any other persons interested may make representations in relation to the application; and the Commissioner shall take into consideration any representations so made.
Public hearing into application for permit for regular service,53,,,,It shall be the duty Of the Commissioner to hold a public hearing into every application or a stage carriage permit for a regular service and into all objections duly made by persons entitled under subsection (2) of section 52 to make objections in respect of the application
Certificates of eligibility for permits for occasional services.,54,1,,,A stage carriage permit for an occasional service shall not be granted to any person other than-(a) the holder of a stage carriage permit for a regular service ; or(b) a person who is the holder of a certificate of eligibility for permits for occasional services.
Certificates of eligibility for permits for occasional services.,54,1,a,,the holder of a stage carriage permit for a regular service ; or
Certificates of eligibility for permits for occasional services.,54,1,b,,a person who is the holder of a certificate of eligibility for permits for occasional services.
Certificates of eligibility for permits for occasional services.,54,2,,,"An application for a certificate of eligibility for stage carriage permits for occasional services may be made by and only by-(a) a co-operative society duly registered or deemed to be registered under the Co-operative Societies Law and recommended by the Registrar of Co-operative Societies for the grant of the certificate ; or(b) a company carrying on or proposing to carry on the business of the carriage of passengers on tours or excursions; or(c) any person to whom road service licences for services, other than regular services, were ordinarily issued under the Omnibus Service Licensing Ordinance, No. 47 of 1942,(Repealed by Act No. 14 of 1951.)during the years 1949 and 1950."
Certificates of eligibility for permits for occasional services.,54,2,a,,a co-operative society duly registered or deemed to be registered under the Co-operative Societies Law and recommended by the Registrar of Co-operative Societies for the grant of the certificate ; or
Certificates of eligibility for permits for occasional services.,54,2,b,,a company carrying on or proposing to carry on the business of the carriage of passengers on tours or excursions; or
Certificates of eligibility for permits for occasional services.,54,2,c,,"any person to whom road service licences for services, other than regular services, were ordinarily issued under the Omnibus Service Licensing Ordinance, No. 47 of 1942,(Repealed by Act No. 14 of 1951.)during the years 1949 and 1950."
Certificates of eligibility for permits for occasional services.,54,3,,,Every application for a certificate of eligibility under this section shall be made to the Commissioner and shall be disposed of in his discretion.
Certificates of eligibility for permits for occasional services.,54,4,,,The grant to any person of a certificate of eligibility under this section shall not be deemed or construed in any way to limit or affect the right of the Commissioner to refuse any application by that person for a stage carriage permit for an occasional service.
Certificates of eligibility for permits for occasional services.,54,5,,,No stage carriage permit for an occasional service shall be granted to any person referred to in paragraph (c) of subsection (2) authorizing the use of any omnibus unless that person was in the year 1950 the registered owner of that omnibus.
Certificates of eligibility for permits for occasional services.,54,6,,,"In any case where a stage carriage permit for an occasional service can lawfully be granted to any person and the Commissioner is unable to grant a permit prior to the time at which the service is proposed to be commenced, the Commissioner may orally authorize the applicant to provide the service ; and any service provided in accordance with such oral authority shall be deemed to be a service provided under a stage carriage permit if the prescribed fee for the requisite permit is paid within seven days of the date on which the service was provided."
Permits for regular services to be usually exclusive.,55,1,,,"Subject to the provisions to the contrary in the succeeding subsections of this section, the grant under this Part of stage carriage permits for regular services shall be so regulated as to secure that different persons are not authorized to provide regular services involving the use of the same section of any highway."
Permits for regular services to be usually exclusive.,55,2,,,"The Commissioner may, where he considers necessary so to do having regard to the needs and convenience of the public, make a determination having the effect that two or more persons are authorized by their permits to provide regular services involving the use of the same section of the highway, if-(a) that section of the highway is common to the respective routes to be used for the purposes of the services to be provided under each of the permits, but does not constitute the whole or the major part of any such route; and(b) the principal purpose for which each such permit is issued is to authorize the provision of a service substantially different from the services to be provided under the other permit or permits."
Permits for regular services to be usually exclusive.,55,2,a,,"that section of the highway is common to the respective routes to be used for the purposes of the services to be provided under each of the permits, but does not constitute the whole or the major part of any such route; and"
Permits for regular services to be usually exclusive.,55,2,b,,the principal purpose for which each such permit is issued is to authorize the provision of a service substantially different from the services to be provided under the other permit or permits.
Permits for regular services to be usually exclusive.,55,3,,,"The fact that a stage carriage permit is granted to any person authorizing the provision of a regular service involving the use of any section of a highway shall not be deemed to prohibit the grant to any other person of, a permit authorizing the provision of a regular service involving the use of the same section of the highway if the section of the highway lies within the administrative limits of any Municipal Council or Urban Council:"
Permits for regular services to be usually exclusive.,55,3,,,"Provided, however, that regulations may be made-(a) authorizing the inclusion in any such permit of a condition that no passenger is both picked up and set down at points on that section of a highway; and(b) providing that a person who is under paragraph (a) deprived of the right previously enjoyed by him under a stage carriage permit to pick up and set down passengers in any area will, in prescribed circumstances, be entitled to receive compensation for the loss of business from the person to whom that right is conferred by a permit granted as provided in this subsection; and(c) prescribing the mode of computing the amount of such compensation, the matters to be taken into consideration in determining such amount and for the settlement by arbitration in the prescribed manner of any dispute as to the amount of compensation so payable."
Permits for regular services to be usually exclusive.,55,3,a,,authorizing the inclusion in any such permit of a condition that no passenger is both picked up and set down at points on that section of a highway; and
Permits for regular services to be usually exclusive.,55,3,b,,"providing that a person who is under paragraph (a) deprived of the right previously enjoyed by him under a stage carriage permit to pick up and set down passengers in any area will, in prescribed circumstances, be entitled to receive compensation for the loss of business from the person to whom that right is conferred by a permit granted as provided in this subsection; and"
Permits for regular services to be usually exclusive.,55,3,c,,"prescribing the mode of computing the amount of such compensation, the matters to be taken into consideration in determining such amount and for the settlement by arbitration in the prescribed manner of any dispute as to the amount of compensation so payable."
Permits for regular services to be usually exclusive.,55,4,,,"In any case where permits have under the preceding provisions of this section been granted to two or more persons authorizing the provision of regular services involving the use of the same section of a highway, the Commissioner may, if he considers it necessary so to do, for the purpose of meeting intensive demand for passenger transport whether on that section of the highway or any part of that section or any longer section which includes that section or part, make a determination for the grant, to any one or more of such persons or to each of them, of an additional permit authorizing the provision of a regular local service on the same section or such part of the section or such longer section, as the case may be :"
Permits for regular services to be usually exclusive.,55,4,,,"Provided, however, that in the case of such longer section, the additional permit shall not be granted to any person unless he is already the holder of a stage carriage permit for a regular service involving the use of the longer section."
Permits for regular services to be usually exclusive.,55,5,,,"Where the Commissioner has, under subsection (1) of section 59, made order directing the holder of a stage carriage permit to increase the frequency of the services provided under that permit or to provide any additional service, and that order is not complied with within three months of the date of the service thereof on the holder or such longer period as the Commissioner may allow, the Commissioner may, notwithstanding anything to the contrary in subsection (1), after inviting applications for the purpose by notice in the Gazette, grant to any other person a stage carriage permit authorizing the provision of any regular service necessary to meet the increased demand for passenger transport which occasions the making of the order."
Permits for regular services to be usually exclusive.,55,5,,,Nothing in section 52 or in section 53 shall apply in relation to the grant of a permit under this subsection.
Permits for regular services to be usually exclusive.,55,6,,,"Where any company engaged in the publication of a newspaper was during the year 1950 the holder of a road service licence issued under subsection (2) of section 7 of the Omnibus Service Licensing Ordinance, No. 47 of 1942*, authorizing the company to provide on any route such an omnibus service as enabled newspapers published by the company to be carried and distributed, the Commissioner may grant a stage carriage permit to that company authorizing the provision of a regular service involving the use of that route for the purpose of enabling newspapers published by the company to be carried and distributed, notwithstanding that any other person is also authorized to provide a regular service involving the use of that route."
Permits for regular services to be usually exclusive.,55,7,,,"Notwithstanding anything in subsection (1) of this section, a stage carriage permit may be granted to any person mentioned in the first column of Part A of the Schedule to this Act authorizing that person to continue to provide a regular service, being a service indentical with that heretofore provided by him under the authority of the road service licence described in the corresponding entry in the second column of Part A of that Schedule."
Permits for regular services to be usually exclusive.,55,8,,,"Notwithstanding anything in subsection (1) of this section, the grant to the Colombo Municipal Council of a stage carriage permit authorizing the provision of a regular omnibus service on any route referred to in subsection (3) of section 66 shall not prevent the grant of a stage carriage permit to the person mentioned in the first column of Part B of the Schedule to this Act, authorizing him to continue to provide a regular service, being a service identical with that heretofore provided by him under the authority of any road service licences described in the second column of Part B of that Schedule:"
Permits for regular services to be usually exclusive.,55,8,,,"Provided, however, that-(a) if the Colombo Municipal Council so requests, the Commissioner may refuse to grant any such permit to any such person or may attach to the permit granted to him a condition that no passenger is both picked up and set down at points on such route which are served by the omnibus service provided by the Council;(b) where a permit is so refused to any such person, or the permit granted to him is made subject to the condition mentioned in paragraph (a), that person shall be entitled to compensation for loss of business from the Municipal Council;(c) regulations may be made prescribing the mode of computing such compensation, the matters to be taken into consideration in determining such amount and providing for the settlement by arbitration in the prescribed manner of any dispute as to the amount of compensation so payable."
Permits for regular services to be usually exclusive.,55,8,a,,"if the Colombo Municipal Council so requests, the Commissioner may refuse to grant any such permit to any such person or may attach to the permit granted to him a condition that no passenger is both picked up and set down at points on such route which are served by the omnibus service provided by the Council;"
Permits for regular services to be usually exclusive.,55,8,b,,"where a permit is so refused to any such person, or the permit granted to him is made subject to the condition mentioned in paragraph (a), that person shall be entitled to compensation for loss of business from the Municipal Council;"
Permits for regular services to be usually exclusive.,55,8,c,,"regulations may be made prescribing the mode of computing such compensation, the matters to be taken into consideration in determining such amount and providing for the settlement by arbitration in the prescribed manner of any dispute as to the amount of compensation so payable."
Disposal of applications for permits.,56,1,,,"Subject to the provisions of sections 54 and 55, the Commissioner shall have full power and discretion to make a determination either to grant or refuse an application for a stage carriage permit."
Disposal of applications for permits.,56,2,,,"The Commissioner, in exercising the discretion in regard to the grant or refusal of stage carriage permits and to the route or routes in respect of which permits may be granted, shall have regard primarily to the interests of the public generally, including those of persons requiring, as well as those of persons providing, facilities for the transport of passengers for fee or reward and shall, in particular, have regard in the case of any application for any such permit, to the following matters:-(a) the extent to which the proposed service is necessary or desirable in the public interest;(b) the suitability of the proposed route or routes;(c) the extent, if any, to which the needs of the proposed route or routes or of any such route are already adequately served;(d) the needs of the area as a whole in relation to traffic (including the provision of adequate, suitable and efficient services and the provision of unremunerative services) and the co-ordination of all forms of passenger transport, including transport by railway;(e) the question whether any provision of any other written law prescribing a speed limit is likely to be contravened;(f) the financial position of the applicant, in so far as it may affect the efficient operation of the proposed service;(g) the following considerations of policy, that is to say :-(i) that wherever any transportation facilities (including facilities provided by the railway) in any area or on any route are, in the opinion of the Commissioner, satisfactory and efficient to meet at reasonable charge the transportation requirements of the public within that area or on that route, it is undesirable to grant stage carriage permits authorizing the carriage of passengers within substantially the same area or over substantially the same route in competition with the said transportation facilities, and(ii) that it is desirable, except where special circumstances render it inexpedient so to do, to give preference (other things being equal) to an application by a co-operative society for a permit to provide services which fulfill transportation requirements in the locality in which the society carries on its activities wherever such services will not be in competition with services provided on established trunk routes, and to give preference to an application by the Colombo Municipal Council for a permit to provide services on any route on which a tramway service was provided in the month of December, 1949, and(iii) that, where in the case of any application for a stage carriage permit authorizing the provision of a regular service the following condition is satisfied, namely, that the applicant is at the time of his application the holder of a permit authorizing the provision of a substantially similar service, preference should be given to his application over any application by a person in whose case the said condition is not satisfied, unless the refusal of the first-mentioned application is justified on the ground that the conditions of any permit previously held by the applicant have not been complied with or is justified by special circumstances."
Disposal of applications for permits.,56,2,a,,the extent to which the proposed service is necessary or desirable in the public interest;
Disposal of applications for permits.,56,2,b,,the suitability of the proposed route or routes;
Disposal of applications for permits.,56,2,c,,"the extent, if any, to which the needs of the proposed route or routes or of any such route are already adequately served;"
Disposal of applications for permits.,56,2,d,,"the needs of the area as a whole in relation to traffic (including the provision of adequate, suitable and efficient services and the provision of unremunerative services) and the co-ordination of all forms of passenger transport, including transport by railway;"
Disposal of applications for permits.,56,2,e,,the question whether any provision of any other written law prescribing a speed limit is likely to be contravened;
Disposal of applications for permits.,56,2,f,,"the financial position of the applicant, in so far as it may affect the efficient operation of the proposed service;"
Disposal of applications for permits.,56,2,g,,"the following considerations of policy, that is to say :-(i) that wherever any transportation facilities (including facilities provided by the railway) in any area or on any route are, in the opinion of the Commissioner, satisfactory and efficient to meet at reasonable charge the transportation requirements of the public within that area or on that route, it is undesirable to grant stage carriage permits authorizing the carriage of passengers within substantially the same area or over substantially the same route in competition with the said transportation facilities, and(ii) that it is desirable, except where special circumstances render it inexpedient so to do, to give preference (other things being equal) to an application by a co-operative society for a permit to provide services which fulfill transportation requirements in the locality in which the society carries on its activities wherever such services will not be in competition with services provided on established trunk routes, and to give preference to an application by the Colombo Municipal Council for a permit to provide services on any route on which a tramway service was provided in the month of December, 1949, and(iii) that, where in the case of any application for a stage carriage permit authorizing the provision of a regular service the following condition is satisfied, namely, that the applicant is at the time of his application the holder of a permit authorizing the provision of a substantially similar service, preference should be given to his application over any application by a person in whose case the said condition is not satisfied, unless the refusal of the first-mentioned application is justified on the ground that the conditions of any permit previously held by the applicant have not been complied with or is justified by special circumstances."
Disposal of applications for permits.,56,2,g,i,"that wherever any transportation facilities (including facilities provided by the railway) in any area or on any route are, in the opinion of the Commissioner, satisfactory and efficient to meet at reasonable charge the transportation requirements of the public within that area or on that route, it is undesirable to grant stage carriage permits authorizing the carriage of passengers within substantially the same area or over substantially the same route in competition with the said transportation facilities, and"
Disposal of applications for permits.,56,2,g,ii,"that it is desirable, except where special circumstances render it inexpedient so to do, to give preference (other things being equal) to an application by a co-operative society for a permit to provide services which fulfill transportation requirements in the locality in which the society carries on its activities wherever such services will not be in competition with services provided on established trunk routes, and to give preference to an application by the Colombo Municipal Council for a permit to provide services on any route on which a tramway service was provided in the month of December, 1949, and"
Disposal of applications for permits.,56,2,g,iii,"that, where in the case of any application for a stage carriage permit authorizing the provision of a regular service the following condition is satisfied, namely, that the applicant is at the time of his application the holder of a permit authorizing the provision of a substantially similar service, preference should be given to his application over any application by a person in whose case the said condition is not satisfied, unless the refusal of the first-mentioned application is justified on the ground that the conditions of any permit previously held by the applicant have not been complied with or is justified by special circumstances."
Conditions attached to permits,57,,,,"Subject to the provisions of this Act and of any regulations made in that behalf, the Commissioner may attach to any stage carriage permit all such conditions as he may think fit to impose with respect to the matters mentioned in section 56 and generally for securing the safety and convenience of the public, including conditions requiring-"
Conditions attached to permits.,57,2,a,,that the fares to be charged shall be such as may be specified in the permit;
Conditions attached to permits.,57,2,b,,that the service shall be operated in accordance with a time-table specified in the permit;
Conditions attached to permits.,57,2,c,,that copies of the time-table and fare- table shall be carried and kept exhibited in omnibuses used on the service;
Conditions attached to permits.,57,2,d,,that every omnibus used on the service shall be of a specified type and be maintained at all times in a fit and serviceable condition ;
Conditions attached to permits.,57,2,e,,that no omnibus shall be used on the service unless a certificate of fitness in respect thereof is in force for the time being;
Conditions attached to permits.,57,2,f,,"in a case where permits are issued to different persons involving the use of the same section of a highway, or where any route or part thereof lies within the administrative limits of any local authority, that passengers shall not be taken up or shall not be set down-(i) except at specified points or(ii) between specified points;"
Conditions attached to permits.,57,2,f,i,except at specified points or
Conditions attached to permits.,57,2,f,ii,between specified points;
Conditions attached to permits.,57,2,g,,that the requirements of any written law with respect to the time for which drivers or conductors of omnibuses may remain continuously on duty and to their hours of work or rest and to their wages are complied with in the case of the drivers and conductors of the omnibuses used under the authority of the permit;
Conditions attached to permits.,57,2,h,,that the speed limits prescribed by any written law and applicable in the case of omnibuses shall be observed in the operation of the service;
Conditions attached to permits.,57,2,i,,"that mails or newspapers shall be carried to such places and at such times as the Commissioner may specify, if payment for such carriage is made in accordance with rates approved by the Commissioner, and in the case of mails, that they shall be carried in accordance with terms and arrangements approved by the Commissioner and embodied in a contract between the applicant and the Postmaster-General;"
Conditions attached to permits.,57,2,j,,"that the holder of the permit must make adequate provision, whether by setting apart of funds or in any other prescribed manner for depreciation of omnibuses, buildings and plant and for the purchase of new omnibuses;"
Conditions attached to permits.,57,2,k,,"that, in the case of a permit for a regular service, the holder shall be bound, if required so to do, to provide omnibus services or hiring car services on any neighbouring route or routes in the area deemed by the Commissioner to be the area served by the regular service provided under the permit, whenever the Commissioner is of the opinion that such additional omnibus or hiring car services are necessary in the public interest."
Variation of conditions of permit.,58,,,,"The Commissioner may, upon application made to him in that behalf by the holder of a stage carriage permit, or of his own motion, modify or rescind any condition attached to that permit under section 57 or attach any new condition thereto: Provided, however, that except in a case where application in that behalf has been made by the holder of a permit, no condition shall be modified or rescinded and no new condition shall be attached except after giving the holder an opportunity to be heard."
Orders and permits for special services,59,1,,,"For the purpose of meeting any increased demand for passenger transport, the Commissioner may by order direct the holder of a stage carriage permit for a regular service to increase the frequency of the services provided under any permit, or to provide additional regular services, whether on the whole of the route or routes specified in the permit or on any such route or part thereof; and any service which is provided in compliance with the order shall be deemed for the purposes of this Part to be a service authorized by that permit. No such order shall be made unless the holder has first been given an opportunity to be heard."
Orders and permits for special services,59,2,,,"For the purpose of meeting any demand for passenger transport during the existence of any emergency, the Commissioner may grant a stage carriage permit to any person authorizing the provision of such emergency services as may be specified in the permit. Nothing in section 52 or in section 53 shall apply in relation to the grant of any permit under this subsection; and any such permit may be granted notwithstanding anything to the contrary in section 55."
Orders and permits for special services,59,3,,,A certificate under the hand of the Minister to the effect that an emergency exists shall for the purposes of subsection (2) be final and conclusive.
Revocation or suspension of permits.,60,1,,,"Subject to the provisions of this section, the Commissioner may revoke any stage carriage permit or suspend any permit for any specified period on the ground that any of the conditions attached to the permit have not been complied with."
Revocation or suspension of permits.,60,2,,,"The Commissioner shall not make a determination that a stage carriage permit be revoked or suspended unless satisfied that such revocation or suspension is necessary by reason of the frequency of the breach of conditions, or of any breach having been committed wilfully or to the danger of the public."
Revocation or suspension of permits.,60,3,,,"In any case where it would be lawful for the Commissioner in accordance with the preceding provisions of this section to make a determination that a permit be revoked or suspended, the Commissioner may instead order him to pay a penalty of an amount not exceeding five thousand rupees or, in the case of a continuing breach of a condition, not exceeding two hundred rupees for each day on which the breach was so continued."
Revocation or suspension of permits.,60,4,,,"The amount of any penalty shall, when paid, be credited to the Consolidated Fund."
Revocation or suspension of permits.,60,5,,,The provisions of this section shall not affect or prejudice the institution or maintenance in any case of a prosecution for any offence under this Act or any other written law.
"Provision of omnibus services when stage carriage permit is revoked.[3,7 of 1957.]",60A,1,,,"Where a stage carriage permit is revoked under section 60, the Commissioner may-(a) grant a stage carriage permit to any person or persons authorizing the provision of an omnibus service or omnibus services on the route or routes in respect of which the revoked stage carriage permit was issued, or(b) himself provide an omnibus service or omnibus services on such route or routes."
"Provision of omnibus services when stage carriage permit is revoked.[3,7 of 1957.]",60A,1,a,,"grant a stage carriage permit to any person or persons authorizing the provision of an omnibus service or omnibus services on the route or routes in respect of which the revoked stage carriage permit was issued, or"
"Provision of omnibus services when stage carriage permit is revoked.[3,7 of 1957.]",60A,1,b,,himself provide an omnibus service or omnibus services on such route or routes.
"Provision of omnibus services when stage carriage permit is revoked.[3,7 of 1957.]",60A,2,,,"Nothing in sections 51, 52, 53, 54, 55, 56 and 66 shall apply in relation to the grant of any stage carriage permit under subsection (1)."
"Provision of omnibus services when stage carriage permit is revoked.[3,7 of 1957.]",60A,3,,,The Minister may by Order published in the Gazette vest in the State or requisition any such omnibuses or other property used by any person for the provision of a regular or an occasional omnibus service or tourist or other similar service as may be required by the Commissioner for the provision by him of an omnibus service.
"Provision of omnibus services when stage carriage permit is revoked.[3,7 of 1957.]",60A,4,,,Any property vested in the State under subsection (3) shall so vest free from all encumbrances.
"Provision of omnibus services when stage carriage permit is revoked.[3,7 of 1957.]",60A,5,,,"Where any property is on any date vested in the State under subsection (3), the Commissioner shall pay under the general directions of the Minister fair compensation to the person in whose possession that property was on the day on which such property vested in the State."
